~id, ~label,cusip:String
315405100,'security','315405100'
911312106,'security','911312106'
03168L105,'security','03168L105'
957638109,'security','957638109'
291011104,'security','291011104'
90915J103,'security','90915J103'
66987V109,'security','66987V109'
318457108,'security','318457108'
075887109,'security','075887109'
464287507,'security','464287507'
293792107,'security','293792107'
931427108,'security','931427108'
81761R109,'security','81761R109'
47632B102,'security','47632B102'
81369Y506,'security','81369Y506'
20600T108,'security','20600T108'
488360207,'security','488360207'
27579R104,'security','27579R104'
40171VAA8,'security','40171VAA8'
64110L106,'security','64110L106'
018581108,'security','018581108'
58471A105,'security','58471A105'
941848103,'security','941848103'
16115Q308,'security','16115Q308'
171340102,'security','171340102'
723653101,'security','723653101'
478160104,'security','478160104'
228903100,'security','228903100'
00847G705,'security','00847G705'
384802104,'security','384802104'
524660107,'security','524660107'
64110D104,'security','64110D104'
05541T101,'security','05541T101'
12508E101,'security','12508E101'
G66964118,'security','G66964118'
30161N101,'security','30161N101'
482564101,'security','482564101'
178867107,'security','178867107'
00123Q104,'security','00123Q104'
80589M102,'security','80589M102'
036752103,'security','036752103'
335720108,'security','335720108'
00508Y102,'security','00508Y102'
92189F387,'security','92189F387'
78463V107,'security','78463V107'
913017109,'security','913017109'
517834107,'security','517834107'
713448108,'security','713448108'
655844108,'security','655844108'
742718109,'security','742718109'
008252108,'security','008252108'
018522300,'security','018522300'
70387R106,'security','70387R106'
884903105,'security','884903105'
297425100,'security','297425100'
084670702,'security','084670702'
87336U105,'security','87336U105'
046433108,'security','046433108'
459044103,'security','459044103'
15201P109,'security','15201P109'
69370C100,'security','69370C100'
736508847,'security','736508847'
855244109,'security','855244109'
436440101,'security','436440101'
198516106,'security','198516106'
42824C109,'security','42824C109'
693149106,'security','693149106'
922042866,'security','922042866'
13645T100,'security','13645T100'
96812T102,'security','96812T102'
693475105,'security','693475105'
892918103,'security','892918103'
458140100,'security','458140100'
44925C103,'security','44925C103'
883203101,'security','883203101'
02079K305,'security','02079K305'
78709Y105,'security','78709Y105'
75281A109,'security','75281A109'
64125C109,'security','64125C109'
H17182108,'security','H17182108'
40425J101,'security','40425J101'
36116M106,'security','36116M106'
206787103,'security','206787103'
678026105,'security','678026105'
594918104,'security','594918104'
896239100,'security','896239100'
063671101,'security','063671101'
198287203,'security','198287203'
09215C105,'security','09215C105'
00846U101,'security','00846U101'
868157108,'security','868157108'
922908553,'security','922908553'
G1992S109,'security','G1992S109'
89214A102,'security','89214A102'
09254P108,'security','09254P108'
715684106,'security','715684106'
053807103,'security','053807103'
09857L108,'security','09857L108'
45784P101,'security','45784P101'
95766m105,'security','95766m105'
922908611,'security','922908611'
22002T108,'security','22002T108'
23355L106,'security','23355L106'
46141D104,'security','46141D104'
15201P109,'security','15201P109'
86771W105,'security','86771W105'
212015101,'security','212015101'
136385101,'security','136385101'
036752103,'security','036752103'
33829M101,'security','33829M101'
08579W103,'security','08579W103'
00808Y208,'security','00808Y208'
33739E108,'security','33739E108'
879360105,'security','879360105'
44919P508,'security','44919P508'
580589109,'security','580589109'
886547108,'security','886547108'
78440P108,'security','78440P108'
749607107,'security','749607107'
961214301,'security','961214301'
923454102,'security','923454102'
92343v104,'security','92343v104'
78463V107,'security','78463V107'
33733U108,'security','33733U108'
893641100,'security','893641100'
74144T108,'security','74144T108'
230215105,'security','230215105'
004239109,'security','004239109'
05541T101,'security','05541T101'
G1151C101,'security','G1151C101'
655663102,'security','655663102'
744320102,'security','744320102'
238337109,'security','238337109'
200525103,'security','200525103'
452327109,'security','452327109'
090572207,'security','090572207'
40414L109,'security','40414L109'
464287432,'security','464287432'
78377T107,'security','78377T107'
45688C107,'security','45688C107'
654902204,'security','654902204'
257559203,'security','257559203'
78467J100,'security','78467J100'
46138J700,'security','46138J700'
G5315B107,'security','G5315B107'
640491106,'security','640491106'
19249H103,'security','19249H103'
055622104,'security','055622104'
904784709,'security','904784709'
25960P109,'security','25960P109'
09061G101,'security','09061G101'
00773T101,'security','00773T101'
223622606,'security','223622606'
892331307,'security','892331307'
913903100,'security','913903100'
33733H107,'security','33733H107'
147528103,'security','147528103'
235851102,'security','235851102'
001744101,'security','001744101'
166764100,'security','166764100'
78486Q101,'security','78486Q101'
M81873107,'security','M81873107'
759351604,'security','759351604'
120076104,'security','120076104'
01748X102,'security','01748X102'
69366J200,'security','69366J200'
110122108,'security','110122108'
04316A108,'security','04316A108'
319716106,'security','319716106'
7591EP100,'security','7591EP100'
032095101,'security','032095101'
46590V100,'security','46590V100'
03762U105,'security','03762U105'
57636Q104,'security','57636Q104'
01609W102,'security','01609W102'
410345102,'security','410345102'
054303102,'security','054303102'
02209S103,'security','02209S103'
744320102,'security','744320102'
608550109,'security','608550109'
