~id,~label,~from,~to,relationshipkey:String,value:String,effectivedate:String,sshPrnamt:String,sshPrnamtType:String
0000102909:20600T108:36:20181114:6195:SH,13F-HR,"0000102909","20600T108","20181114:0000102909:20600T108:VANGUARD GROUP INC:36","36","20181114","6195","SH"
0000102909:488360207:919:20181123:49520:SH,13F-HR/A,"0000102909","488360207","20181123:0000102909:488360207:VANGUARD GROUP INC:919","919","20181123","49520","SH"
0001088950:27579R104:4:20181016:60:SH,13F-HR,"0001088950","27579R104","20181016:0001088950:27579R104:RAYMOND JAMES TRUST N.A.:4","4","20181016","60","SH"
0001040188:40171VAA8:4374:20180802:4308000:PRN,13F-HR,"0001040188","40171VAA8","20180802:0001040188:40171VAA8:VICTORY CAPITAL MANAGEMENT INC:4374","4374","20180802","4308000","PRN"
0001093589:64110L106:211:20181017:565:SH,13F-HR,"0001093589","64110L106","20181017:0001093589:64110L106:ALTA CAPITAL MANAGEMENT LLC/:211","211","20181017","565","SH"
0001006378:018581108:7920:20181114:33537:SH,13F-HR,"0001006378","018581108","20181114:0001006378:018581108:SEGALL BRYANT & HAMILL, LLC:7920","7920","20181114","33537","SH"
0001163744:58471A105:61886:20181025:844171:SH,13F-HR,"0001163744","58471A105","20181025:0001163744:58471A105:Conestoga Capital Advisors, LLC:61886","61886","20181025","844171","SH"
0001078013:941848103:465:20181115:2386:SH,13F-HR/A,"0001078013","941848103","20181115:0001078013:941848103:GREAT LAKES ADVISORS, LLC:465","465","20181115","2386","SH"
0000102909:16115Q308:234246:20181114:2990498:SH,13F-HR,"0000102909","16115Q308","20181114:0000102909:16115Q308:VANGUARD GROUP INC:234246","234246","20181114","2990498","SH"
0001029730:171340102:42:20181114:700:SH,13F-HR,"0001029730","171340102","20181114:0001029730:171340102:LADENBURG THALMANN FINANCIAL SERVICES INC.:42","42","20181114","700","SH"
0001080628:723653101:1132:20181114:77409:SH,13F-HR,"0001080628","723653101","20181114:0001080628:723653101:COLONY GROUP LLC:1132","1132","20181114","77409","SH"
0001207017:478160104:199:20180813:1646:SH,13F-HR,"0001207017","478160104","20180813:0001207017:478160104:LAZARD ASSET MANAGEMENT LLC:199","199","20180813","1646","SH"
0001040188:228903100:406:20180802:14596:SH,13F-HR,"0001040188","228903100","20180802:0001040188:228903100:VICTORY CAPITAL MANAGEMENT INC:406","406","20180802","14596","SH"
0001012622:00847G705:3209:20181114:1499540:SH,13F-HR,"0001012622","00847G705","20181114:0001012622:00847G705:ORACLE INVESTMENT MANAGEMENT INC:3209","3209","20181114","1499540","SH"
0000102909:384802104:16444:20181114:46008:SH,13F-HR,"0000102909","384802104","20181114:0000102909:384802104:VANGUARD GROUP INC:16444","16444","20181114","46008","SH"
0001088950:524660107:106:20181016:2420:SH,13F-HR,"0001088950","524660107","20181016:0001088950:524660107:RAYMOND JAMES TRUST N.A.:106","106","20181016","2420","SH"
0001021249:64110D104:44196:20181113:514564:SH,13F-HR,"0001021249","64110D104","20181113:0001021249:64110D104:UNITED SERVICES AUTOMOBILE ASSOCIATION:44196","44196","20181113","514564","SH"
0001037389:05541T101:78975:20180813:5871748:SH,13F-HR,"0001037389","05541T101","20180813:0001037389:05541T101:RENAISSANCE TECHNOLOGIES LLC:78975","78975","20180813","5871748","SH"
0001008322:12508E101:1837:20180809:28241:SH,13F-HR,"0001008322","12508E101","20180809:0001008322:12508E101:THOMPSON SIEGEL & WALMSLEY LLC:1837","1837","20180809","28241","SH"
0001115418:G66964118:1878:20181107:54255:SH,13F-HR,"0001115418","G66964118","20181107:0001115418:G66964118:RHUMBLINE ADVISERS:1878","1878","20181107","54255","SH"
0001101250:30161N101:35:20181010:800:SH,13F-HR,"0001101250","30161N101","20181010:0001101250:30161N101:BURKE & HERBERT BANK & TRUST CO:35","35","20181010","800","SH"
0001037389:482564101:46024:20181113:609100:SH,13F-HR,"0001037389","482564101","20181113:0001037389:482564101:RENAISSANCE TECHNOLOGIES LLC:46024","46024","20181113","609100","SH"
0001040762:178867107:1927:20181115:80000:SH,13F-HR/A,"0001040762","178867107","20181115:0001040762:178867107:MALTESE CAPITAL MANAGEMENT LLC:1927","1927","20181115","80000","SH"
0001125816:00123Q104:20025:20181025:1074863:SH,13F-HR,"0001125816","00123Q104","20181025:0001125816:00123Q104:FIRST TRUST ADVISORS LP:20025","20025","20181025","1074863","SH"
0001102578:80589M102:5:20180813:119:SH,13F-HR,"0001102578","80589M102","20180813:0001102578:80589M102:EARNEST PARTNERS LLC:5","5","20180813","119","SH"
0001000275:036752103:14489:20181114:52869:SH,13F-HR,"0001000275","036752103","20181114:0001000275:036752103:ROYAL BANK OF CANADA:14489","14489","20181114","52869","SH"
0001013701:335720108:347:20180716:42:SH,13F-HR,"0001013701","335720108","20180716:0001013701:335720108:LAWSON KROEKER INVESTMENT MANAGEMENT INC/NE:347","347","20180716","42","SH"
0000102909:00508Y102:2346:20181114:14924:SH,13F-HR,"0000102909","00508Y102","20181114:0000102909:00508Y102:VANGUARD GROUP INC:2346","2346","20181114","14924","SH"
0001029730:92189F387:30:20181114:1221:SH,13F-HR,"0001029730","92189F387","20181114:0001029730:92189F387:LADENBURG THALMANN FINANCIAL SERVICES INC.:30","30","20181114","1221","SH"
0001108969:78463V107:259:20181030:2300:SH,13F-HR,"0001108969","78463V107","20181030:0001108969:78463V107:CHATHAM CAPITAL GROUP, INC.:259","259","20181030","2300","SH"
0001592615:913017109:640:20181015:4575:SH,13F-HR,"0001592615","913017109","20181015:0001592615:913017109:Page Arthur B:640","640","20181015","4575","SH"
0000102909:517834107:6814:20181114:114852:SH,13F-HR,"0000102909","517834107","20181114:0000102909:517834107:VANGUARD GROUP INC:6814","6814","20181114","114852","SH"
0001010911:713448108:270:20180814:2482:SH,13F-HR,"0001010911","713448108","20180814:0001010911:713448108:S&T BANK/PA:270","270","20180814","2482","SH"
0001080197:655844108:556:20180803:3690:SH,13F-HR,"0001080197","655844108","20180803:0001080197:655844108:SCHULHOFF & CO INC:556","556","20180803","3690","SH"
0001009076:742718109:44240:20180808:566740:SH,13F-HR,"0001009076","742718109","20180808:0001009076:742718109:COMMERCE BANK:44240","44240","20180808","566740","SH"
0001021926:008252108:690:20181102:5045:SH,13F-HR,"0001021926","008252108","20181102:0001021926:008252108:CIBC Asset Management Inc:690","690","20181102","5045","SH"
0001029730:018522300:44:20181114:592:SH,13F-HR,"0001029730","018522300","20181114:0001029730:018522300:LADENBURG THALMANN FINANCIAL SERVICES INC.:44","44","20181114","592","SH"
0001037389:70387R106:58:20181113:44900:SH,13F-HR,"0001037389","70387R106","20181113:0001037389:70387R106:RENAISSANCE TECHNOLOGIES LLC:58","58","20181113","44900","SH"
0000102909:884903105:2633:20181123:57635:SH,13F-HR/A,"0000102909","884903105","20181123:0000102909:884903105:VANGUARD GROUP INC:2633","2633","20181123","57635","SH"
0001021249:297425100:384:20181113:4222:SH,13F-HR,"0001021249","297425100","20181113:0001021249:297425100:UNITED SERVICES AUTOMOBILE ASSOCIATION:384","384","20181113","4222","SH"
0001054074:084670702:713:20181106:3329:SH,13F-HR,"0001054074","084670702","20181106:0001054074:084670702:BESSEMER GROUP INC:713","713","20181106","3329","SH"
0000102909:87336U105:678272:20181114:6070087:SH,13F-HR,"0000102909","87336U105","20181114:0000102909:87336U105:VANGUARD GROUP INC:678272","678272","20181114","6070087","SH"
0000102909:046433108:317:20181123:7280:SH,13F-HR/A,"0000102909","046433108","20181123:0000102909:046433108:VANGUARD GROUP INC:317","317","20181123","7280","SH"
0000102909:459044103:2149:20181114:47764:SH,13F-HR,"0000102909","459044103","20181114:0000102909:459044103:VANGUARD GROUP INC:2149","2149","20181114","47764","SH"
0001018331:15201P109:1286:20180814:43130:SH,13F-HR,"0001018331","15201P109","20180814:0001018331:15201P109:NATIXIS ADVISORS, L.P.:1286","1286","20180814","43130","SH"
0001021926:69370C100:514:20181102:4841:SH,13F-HR,"0001021926","69370C100","20181102:0001021926:69370C100:CIBC Asset Management Inc:514","514","20181102","4841","SH"
0001002912:736508847:8:20180802:180:SH,13F-HR,"0001002912","736508847","20180802:0001002912:736508847:SHINE INVESTMENT ADVISORY SERVICES INC:8","8","20180802","180","SH"
0001053013:855244109:1996:20181012:35116:SH,13F-HR,"0001053013","855244109","20181012:0001053013:855244109:AMARILLO NATIONAL BANK:1996","1996","20181012","35116","SH"
0001002784:436440101:1070:20181114:26114:SH,13F-HR,"0001002784","436440101","20181114:0001002784:436440101:SHELTON CAPITAL MANAGEMENT:1070","1070","20181114","26114","SH"
0001597694:198516106:866:20181113:9300:SH,13F-HR,"0001597694","198516106","20181113:0001597694:198516106:MUFG Securities EMEA plc:866","866","20181113","9300","SH"
0001115418:42824C109:45714:20181107:2802791:SH,13F-HR,"0001115418","42824C109","20181107:0001115418:42824C109:RHUMBLINE ADVISERS:45714","45714","20181107","2802791","SH"
0001037389:693149106:26459:20181113:406500:SH,13F-HR,"0001037389","693149106","20181113:0001037389:693149106:RENAISSANCE TECHNOLOGIES LLC:26459","26459","20181113","406500","SH"
0001029730:922042866:1363:20181114:19171:SH,13F-HR,"0001029730","922042866","20181114:0001029730:922042866:LADENBURG THALMANN FINANCIAL SERVICES INC.:1363","1363","20181114","19171","SH"
0001009207:13645T100:79683:20180814:435379:SH,13F-HR,"0001009207","13645T100","20180814:0001009207:13645T100:D. E. Shaw & Co., Inc.:79683","79683","20180814","435379","SH"
0000102909:96812T102:43:20181114:1839:SH,13F-HR,"0000102909","96812T102","20181114:0000102909:96812T102:VANGUARD GROUP INC:43","43","20181114","1839","SH"
0001088950:693475105:3678:20181016:27004:SH,13F-HR,"0001088950","693475105","20181016:0001088950:693475105:RAYMOND JAMES TRUST N.A.:3678","3678","20181016","27004","SH"
0001037389:892918103:5782:20181113:401500:SH,13F-HR,"0001037389","892918103","20181113:0001037389:892918103:RENAISSANCE TECHNOLOGIES LLC:5782","5782","20181113","401500","SH"
0001108969:458140100:784:20181030:16577:SH,13F-HR,"0001108969","458140100","20181030:0001108969:458140100:CHATHAM CAPITAL GROUP, INC.:784","784","20181030","16577","SH"
0001009076:44925C103:587:20181102:7785:SH,13F-HR,"0001009076","44925C103","20181102:0001009076:44925C103:COMMERCE BANK:587","587","20181102","7785","SH"
0001009076:883203101:282:20180808:4281:SH,13F-HR,"0001009076","883203101","20180808:0001009076:883203101:COMMERCE BANK:282","282","20180808","4281","SH"
0001009006:02079K305:1381:20181114:1144:SH,13F-HR,"0001009006","02079K305","20181114:0001009006:02079K305:PALISADE CAPITAL MANAGEMENT LLC/NJ:1381","1381","20181114","1144","SH"
0001040188:78709Y105:320:20180802:3960:SH,13F-HR,"0001040188","78709Y105","20180802:0001040188:78709Y105:VICTORY CAPITAL MANAGEMENT INC:320","320","20180802","3960","SH"
0000102909:75281A109:476:20181114:27989:SH,13F-HR,"0000102909","75281A109","20181114:0000102909:75281A109:VANGUARD GROUP INC:476","476","20181114","27989","SH"
0001207017:64125C109:1034:20180813:10534:SH,13F-HR,"0001207017","64125C109","20180813:0001207017:64125C109:LAZARD ASSET MANAGEMENT LLC:1034","1034","20180813","10534","SH"
0001021249:H17182108:562:20181113:12670:SH,13F-HR,"0001021249","H17182108","20181113:0001021249:H17182108:UNITED SERVICES AUTOMOBILE ASSOCIATION:562","562","20181113","12670","SH"
0000102909:40425J101:459:20181123:13978:SH,13F-HR/A,"0000102909","40425J101","20181123:0000102909:40425J101:VANGUARD GROUP INC:459","459","20181123","13978","SH"
0000102909:36116M106:418:20181123:22553:SH,13F-HR/A,"0000102909","36116M106","20181123:0000102909:36116M106:VANGUARD GROUP INC:418","418","20181123","22553","SH"
0000102909:206787103:391750:20181114:17395669:SH,13F-HR,"0000102909","206787103","20181114:0000102909:206787103:VANGUARD GROUP INC:391750","391750","20181114","17395669","SH"
0000102909:678026105:183:20181123:5527:SH,13F-HR/A,"0000102909","678026105","20181123:0000102909:678026105:VANGUARD GROUP INC:183","183","20181123","5527","SH"
0001053994:594918104:405:20181009:405:SH,13F-HR,"0001053994","594918104","20181009:0001053994:594918104:SANDERS MORRIS HARRIS LLC:405","405","20181009","405","SH"
0001027817:896239100:216989:20181113:4992837:SH,13F-HR,"0001027817","896239100","20181113:0001027817:896239100:ATLANTA CAPITAL MANAGEMENT CO L L C:216989","216989","20181113","4992837","SH"
0001616654:063671101:31:20181009:374:SH,13F-HR,"0001616654","063671101","20181009:0001616654:063671101:NEXT Financial Group, Inc:31","31","20181009","374","SH"
0001008322:198287203:256:20181108:10850:SH,13F-HR,"0001008322","198287203","20181108:0001008322:198287203:THOMPSON SIEGEL & WALMSLEY LLC:256","256","20181108","10850","SH"
0001080114:09215C105:229:20181018:4403:SH,13F-HR,"0001080114","09215C105","20181018:0001080114:09215C105:OAKBROOK INVESTMENTS LLC:229","229","20181018","4403","SH"
0001007524:00846U101:12598:20181113:178592:SH,13F-HR,"0001007524","00846U101","20181113:0001007524:00846U101:OSTERWEIS CAPITAL MANAGEMENT INC:12598","12598","20181113","178592","SH"
0000102909:868157108:135537:20181123:13915533:SH,13F-HR/A,"0000102909","868157108","20181123:0000102909:868157108:VANGUARD GROUP INC:135537","135537","20181123","13915533","SH"
0001007295:922908553:306:20180815:3753:SH,13F-HR,"0001007295","922908553","20180815:0001007295:922908553:BRIDGES INVESTMENT MANAGEMENT INC:306","306","20180815","3753","SH"
0000102909:G1992S109:57:20181123:3400:SH,13F-HR/A,"0000102909","G1992S109","20181123:0000102909:G1992S109:VANGUARD GROUP INC:57","57","20181123","3400","SH"
0000102909:89214A102:150:20181123:17299:SH,13F-HR/A,"0000102909","89214A102","20181123:0000102909:89214A102:VANGUARD GROUP INC:150","150","20181123","17299","SH"
0001084208:09254P108:935:20180814:72335:SH,13F-HR,"0001084208","09254P108","20180814:0001084208:09254P108:RAYMOND JAMES & ASSOCIATES:935","935","20180814","72335","SH"
0000102909:715684106:67:20181123:2734:SH,13F-HR/A,"0000102909","715684106","20181123:0000102909:715684106:VANGUARD GROUP INC:67","67","20181123","2734","SH"
0001053994:053807103:428:20181009:428:SH,13F-HR,"0001053994","053807103","20181009:0001053994:053807103:SANDERS MORRIS HARRIS LLC:428","428","20181009","428","SH"
0001002912:09857L108:172:20180802:85:SH,13F-HR,"0001002912","09857L108","20180802:0001002912:09857L108:SHINE INVESTMENT ADVISORY SERVICES INC:172","172","20180802","85","SH"
0001037389:45784P101:25523:20181113:240900:SH,13F-HR,"0001037389","45784P101","20181113:0001037389:45784P101:RENAISSANCE TECHNOLOGIES LLC:25523","25523","20181113","240900","SH"
0001161722:95766m105:385:20181004:31780:SH,13F-HR,"0001161722","95766m105","20181004:0001161722:95766m105:HOLLENCREST CAPITAL MANAGEMENT:385","385","20181004","31780","SH"
0001011659:922908611:6009:20180810:44250:SH,13F-HR,"0001011659","922908611","20180810:0001011659:922908611:MUFG Americas Holdings Corp:6009","6009","20180810","44250","SH"
0001037389:22002T108:26122:20180813:1011300:SH,13F-HR,"0001037389","22002T108","20180813:0001037389:22002T108:RENAISSANCE TECHNOLOGIES LLC:26122","26122","20180813","1011300","SH"
0001616654:23355L106:76:20181009:808:SH,13F-HR,"0001616654","23355L106","20181009:0001616654:23355L106:NEXT Financial Group, Inc:76","76","20181009","808","SH"
0001029730:46141D104:32:20181114:1500:SH,13F-HR,"0001029730","46141D104","20181114:0001029730:46141D104:LADENBURG THALMANN FINANCIAL SERVICES INC.:32","32","20181114","1500","SH"
0000102909:15201P109:2146:20181123:76490:SH,13F-HR/A,"0000102909","15201P109","20181123:0000102909:15201P109:VANGUARD GROUP INC:2146","2146","20181123","76490","SH"
0001115418:86771W105:1210:20181107:97254:SH,13F-HR,"0001115418","86771W105","20181107:0001115418:86771W105:RHUMBLINE ADVISERS:1210","1210","20181107","97254","SH"
0001077428:212015101:694:20180719:10718:SH,13F-HR,"0001077428","212015101","20180719:0001077428:212015101:TEXAS CAPITAL BANCSHARES INC/TX:694","694","20180719","10718","SH"
0001002784:136385101:263:20181114:8065:SH,13F-HR,"0001002784","136385101","20181114:0001002784:136385101:SHELTON CAPITAL MANAGEMENT:263","263","20181114","8065","SH"
0001161722:036752103:366:20181004:1336:SH,13F-HR,"0001161722","036752103","20181004:0001161722:036752103:HOLLENCREST CAPITAL MANAGEMENT:366","366","20181004","1336","SH"
0001207017:33829M101:8709:20180813:89137:SH,13F-HR,"0001207017","33829M101","20180813:0001207017:33829M101:LAZARD ASSET MANAGEMENT LLC:8709","8709","20180813","89137","SH"
0001002912:08579W103:8:20180802:165:SH,13F-HR,"0001002912","08579W103","20180802:0001002912:08579W103:SHINE INVESTMENT ADVISORY SERVICES INC:8","8","20180802","165","SH"
0000102909:00808Y208:632:20181114:535720:SH,13F-HR,"0000102909","00808Y208","20181114:0000102909:00808Y208:VANGUARD GROUP INC:632","632","20181114","535720","SH"
0001084208:33739E108:23312:20180814:1223070:SH,13F-HR,"0001084208","33739E108","20180814:0001084208:33739E108:RAYMOND JAMES & ASSOCIATES:23312","23312","20180814","1223070","SH"
0001002784:879360105:499:20180810:2505:SH,13F-HR,"0001002784","879360105","20180810:0001002784:879360105:SHELTON CAPITAL MANAGEMENT:499","499","20180810","2505","SH"
0000102909:44919P508:5486:20181114:25312:SH,13F-HR,"0000102909","44919P508","20181114:0000102909:44919P508:VANGUARD GROUP INC:5486","5486","20181114","25312","SH"
0001037389:580589109:36729:20181113:674295:SH,13F-HR,"0001037389","580589109","20181113:0001037389:580589109:RENAISSANCE TECHNOLOGIES LLC:36729","36729","20181113","674295","SH"
0001040188:886547108:4849:20180802:36848:SH,13F-HR,"0001040188","886547108","20180802:0001040188:886547108:VICTORY CAPITAL MANAGEMENT INC:4849","4849","20180802","36848","SH"
0001089911:78440P108:748:20181024:26830:SH,13F-HR,"0001089911","78440P108","20181024:0001089911:78440P108:PILLAR PACIFIC CAPITAL MANAGEMENT LLC:748","748","20181024","26830","SH"
0000102909:749607107:5621:20181123:71532:SH,13F-HR/A,"0000102909","749607107","20181123:0000102909:749607107:VANGUARD GROUP INC:5621","5621","20181123","71532","SH"
0001009016:961214301:271:20181107:13523:SH,13F-HR,"0001009016","961214301","20181107:0001009016:961214301:FORT WASHINGTON INVESTMENT ADVISORS INC /OH/:271","271","20181107","13523","SH"
0001586052:923454102:0:20181113:5:SH,13F-HR,"0001586052","923454102","20181113:0001586052:923454102:Focused Wealth Management, Inc:0","0","20181113","5","SH"
0001008895:92343v104:5692:20181023:106604:SH,13F-HR,"0001008895","92343v104","20181023:0001008895:92343v104:SCHMIDT P J INVESTMENT MANAGEMENT INC:5692","5692","20181023","106604","SH"
0001079563:78463V107:33828:20181114:300000:SH,13F-HR,"0001079563","78463V107","20181114:0001079563:78463V107:HIGHFIELDS CAPITAL MANAGEMENT LP:33828","33828","20181114","300000","SH"
0001029730:33733U108:142:20181114:11196:SH,13F-HR,"0001029730","33733U108","20181114:0001029730:33733U108:LADENBURG THALMANN FINANCIAL SERVICES INC.:142","142","20181114","11196","SH"
0001054554:893641100:10221:20180813:29615:SH,13F-HR,"0001054554","893641100","20180813:0001054554:893641100:OAK RIDGE INVESTMENTS LLC:10221","10221","20180813","29615","SH"
0001006378:74144T108:10583:20181114:96930:SH,13F-HR,"0001006378","74144T108","20181114:0001006378:74144T108:SEGALL BRYANT & HAMILL, LLC:10583","10583","20181114","96930","SH"
0001040188:230215105:757:20180802:30850:SH,13F-HR,"0001040188","230215105","20180802:0001040188:230215105:VICTORY CAPITAL MANAGEMENT INC:757","757","20180802","30850","SH"
0001021926:004239109:281:20181102:10027:SH,13F-HR,"0001021926","004239109","20181102:0001021926:004239109:CIBC Asset Management Inc:281","281","20181102","10027","SH"
0001029730:05541T101:176:20181114:15091:SH,13F-HR,"0001029730","05541T101","20181114:0001029730:05541T101:LADENBURG THALMANN FINANCIAL SERVICES INC.:176","176","20181114","15091","SH"
0001021223:G1151C101:17790:20181113:104524:SH,13F-HR,"0001021223","G1151C101","20181113:0001021223:G1151C101:KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC:17790","17790","20181113","104524","SH"
0001088950:655663102:237:20181016:1704:SH,13F-HR,"0001088950","655663102","20181016:0001088950:655663102:RAYMOND JAMES TRUST N.A.:237","237","20181016","1704","SH"
0000102909:744320102:14165:20181123:139804:SH,13F-HR/A,"0000102909","744320102","20181123:0000102909:744320102:VANGUARD GROUP INC:14165","14165","20181123","139804","SH"
0001000742:238337109:14423:20180814:303000:SH,13F-HR,"0001000742","238337109","20180814:0001000742:238337109:SANDLER CAPITAL MANAGEMENT:14423","14423","20180814","303000","SH"
0001011659:200525103:63:20181114:955:SH,13F-HR,"0001011659","200525103","20181114:0001011659:200525103:MUFG Americas Holdings Corp:63","63","20181114","955","SH"
0001021117:452327109:3493:20181113:9516:SH,13F-HR,"0001021117","452327109","20181113:0001021117:452327109:D L CARLSON INVESTMENT GROUP INC:3493","3493","20181113","9516","SH"
0001021249:090572207:1834:20181113:5860:SH,13F-HR,"0001021249","090572207","20181113:0001021249:090572207:UNITED SERVICES AUTOMOBILE ASSOCIATION:1834","1834","20181113","5860","SH"
0001088950:40414L109:175:20181016:6664:SH,13F-HR,"0001088950","40414L109","20181016:0001088950:40414L109:RAYMOND JAMES TRUST N.A.:175","175","20181016","6664","SH"
0001053013:464287432:320:20180726:2629:SH,13F-HR/A,"0001053013","464287432","20180726:0001053013:464287432:AMARILLO NATIONAL BANK:320","320","20180726","2629","SH"
0001029730:78377T107:16:20181114:189:SH,13F-HR,"0001029730","78377T107","20181114:0001029730:78377T107:LADENBURG THALMANN FINANCIAL SERVICES INC.:16","16","20181114","189","SH"
0001025835:45688C107:5:20181026:48:SH,13F-HR,"0001025835","45688C107","20181026:0001025835:45688C107:ENTERPRISE FINANCIAL SERVICES CORP:5","5","20181026","48","SH"
0001015079:654902204:57527:20180813:10004615:SH,13F-HR,"0001015079","654902204","20180813:0001015079:654902204:BRANDES INVESTMENT PARTNERS, LP:57527","57527","20180813","10004615","SH"
0001080114:257559203:329:20181018:6300:SH,13F-HR,"0001080114","257559203","20181018:0001080114:257559203:OAKBROOK INVESTMENTS LLC:329","329","20181018","6300","SH"
0001029730:78467J100:70:20181114:1242:SH,13F-HR,"0001029730","78467J100","20181114:0001029730:78467J100:LADENBURG THALMANN FINANCIAL SERVICES INC.:70","70","20181114","1242","SH"
0001037763:46138J700:251:20181005:12100:SH,13F-HR,"0001037763","46138J700","20181005:0001037763:46138J700:OPTIMUM INVESTMENT ADVISORS:251","251","20181005","12100","SH"
0001029730:G5315B107:11:20181114:1134:SH,13F-HR,"0001029730","G5315B107","20181114:0001029730:G5315B107:LADENBURG THALMANN FINANCIAL SERVICES INC.:11","11","20181114","1134","SH"
0001037389:640491106:3291:20180813:49132:SH,13F-HR,"0001037389","640491106","20180813:0001037389:640491106:RENAISSANCE TECHNOLOGIES LLC:3291","3291","20180813","49132","SH"
0001179392:19249H103:2630:20181114:159415:SH,13F-HR,"0001179392","19249H103","20181114:0001179392:19249H103:TWO SIGMA INVESTMENTS, LP:2630","2630","20181114","159415","SH"
0001029730:055622104:12811:20181114:277904:SH,13F-HR,"0001029730","055622104","20181114:0001029730:055622104:LADENBURG THALMANN FINANCIAL SERVICES INC.:12811","12811","20181114","277904","SH"
0001002912:904784709:60:20181113:1073:SH,13F-HR,"0001002912","904784709","20181113:0001002912:904784709:SHINE INVESTMENT ADVISORY SERVICES INC:60","60","20181113","1073","SH"
0001021926:25960P109:238:20181102:6318:SH,13F-HR,"0001021926","25960P109","20181102:0001021926:25960P109:CIBC Asset Management Inc:238","238","20181102","6318","SH"
0001029730:09061G101:5:20181114:56:SH,13F-HR,"0001029730","09061G101","20181114:0001029730:09061G101:LADENBURG THALMANN FINANCIAL SERVICES INC.:5","5","20181114","56","SH"
0000102909:00773T101:74529:20181114:2195266:SH,13F-HR,"0000102909","00773T101","20181114:0000102909:00773T101:VANGUARD GROUP INC:74529","74529","20181114","2195266","SH"
0001021249:223622606:236:20181113:14472:SH,13F-HR,"0001021249","223622606","20181113:0001021249:223622606:UNITED SERVICES AUTOMOBILE ASSOCIATION:236","236","20181113","14472","SH"
0001115418:892331307:348:20181107:2799:SH,13F-HR,"0001115418","892331307","20181107:0001115418:892331307:RHUMBLINE ADVISERS:348","348","20181107","2799","SH"
0001009076:913903100:181:20181102:1416:SH,13F-HR,"0001009076","913903100","20181102:0001009076:913903100:COMMERCE BANK:181","181","20181102","1416","SH"
0001029730:33733H107:226:20181114:8565:SH,13F-HR,"0001029730","33733H107","20181114:0001029730:33733H107:LADENBURG THALMANN FINANCIAL SERVICES INC.:226","226","20181114","8565","SH"
0001000275:147528103:4804:20181114:37210:SH,13F-HR,"0001000275","147528103","20181114:0001000275:147528103:ROYAL BANK OF CANADA:4804","4804","20181114","37210","SH"
0001013536:235851102:37552:20181113:345591:SH,13F-HR,"0001013536","235851102","20181113:0001013536:235851102:AJO, LP:37552","37552","20181113","345591","SH"
