~id,~label,~from,~to,relationshipkey:String,value:String,effectivedate:String,sshPrnamt:String,sshPrnamtType:String
0001000275:315405100:142:20181114:6115:SH,13F-HR,"0001000275","315405100","20181114:0001000275:315405100:ROYAL BANK OF CANADA:142","142","20181114","6115","SH"
0001037763:911312106:2349:20181005:20116:SH,13F-HR,"0001037763","911312106","20181005:0001037763:911312106:OPTIMUM INVESTMENT ADVISORS:2349","2349","20181005","20116","SH"
0000102909:03168L105:3779:20181114:170291:SH,13F-HR,"0000102909","03168L105","20181114:0000102909:03168L105:VANGUARD GROUP INC:3779","3779","20181114","170291","SH"
0001093589:957638109:17366:20181017:305271:SH,13F-HR,"0001093589","957638109","20181017:0001093589:957638109:ALTA CAPITAL MANAGEMENT LLC/:17366","17366","20181017","305271","SH"
0001002912:291011104:69:20181113:900:SH,13F-HR,"0001002912","291011104","20181113:0001002912:291011104:SHINE INVESTMENT ADVISORY SERVICES INC:69","69","20181113","900","SH"
0000102909:90915J103:1681:20181114:207502:SH,13F-HR,"0000102909","90915J103","20181114:0000102909:90915J103:VANGUARD GROUP INC:1681","1681","20181114","207502","SH"
0001077428:66987V109:314:20181018:3639:SH,13F-HR,"0001077428","66987V109","20181018:0001077428:66987V109:TEXAS CAPITAL BANCSHARES INC/TX:314","314","20181018","3639","SH"
0001037389:318457108:113:20180813:133000:SH,13F-HR,"0001037389","318457108","20180813:0001037389:318457108:RENAISSANCE TECHNOLOGIES LLC:113","113","20180813","133000","SH"
0001021117:075887109:5231:20181113:20041:SH,13F-HR,"0001021117","075887109","20181113:0001021117:075887109:D L CARLSON INVESTMENT GROUP INC:5231","5231","20181113","20041","SH"
0001007295:464287507:37545:20180815:192754:SH,13F-HR,"0001007295","464287507","20180815:0001007295:464287507:BRIDGES INVESTMENT MANAGEMENT INC:37545","37545","20180815","192754","SH"
0001029730:293792107:799:20181114:27807:SH,13F-HR,"0001029730","293792107","20181114:0001029730:293792107:LADENBURG THALMANN FINANCIAL SERVICES INC.:799","799","20181114","27807","SH"
0001014306:931427108:1433:20181106:19660:SH,13F-HR,"0001014306","931427108","20181106:0001014306:931427108:DIXON HUBARD FEINOUR & BROWN INC/VA:1433","1433","20181106","19660","SH"
0001040188:81761R109:4425:20181101:71331:SH,13F-HR,"0001040188","81761R109","20181101:0001040188:81761R109:VICTORY CAPITAL MANAGEMENT INC:4425","4425","20181101","71331","SH"
0001167456:47632B102:729:20180814:69000:SH,13F-HR,"0001167456","47632B102","20180814:0001167456:47632B102:CNH PARTNERS LLC:729","729","20180814","69000","SH"
0001054074:81369Y506:79:20181106:1046:SH,13F-HR,"0001054074","81369Y506","20181106:0001054074:81369Y506:BESSEMER GROUP INC:79","79","20181106","1046","SH"
